,email,phonenumber,homeaddress,personname,yearborn,no.of kids,categorical variable,annual income,speeding tickets
0,victoria35@example.net,3925701901,"4096 Kimberly Grove
North Jacobfort, OR 07306",Ashley Russell,1977,1,own,9937384,2
1,bernard52@example.com,9401303693,"4634 Griffin Heights
Morganborough, DC 11163",Michelle Moore,1974,2,rent,4765144,5
2,piercestephen@example.com,3521698760,"93375 Tyler Freeway
New Toddshire, SD 59296",Amanda Martin,1983,1,own,1045626,2
3,fletchertara@example.org,3664888637,"6449 Aaron Burg
Russelltown, CA 46324",Alexis Morris,1976,1,rent,2327639,1
4,geoffreyrobinson@example.com,5689100202,"416 Lopez Knolls Suite 269
Donaldsonburgh, WI 38201",Jesse Payne,1963,4,rent,6855864,4
5,coxjacqueline@example.net,7591906728,"91703 Perez Gardens Suite 347
Brockborough, OH 62265",Anthony Johnston,1986,4,rent,858816,2
6,adamsmegan@example.net,3326294555,"3649 Wells Ports
Walkerborough, NV 20179",Crystal Clay,1980,1,own,164466,3
7,alexandria09@example.com,8761239023,"528 Johnson Divide Apt. 870
Vargaschester, OR 31042",Marcus Allen,1987,1,own,2683092,2
8,christopher77@example.com,8707291006,"USNV Baker
FPO AP 84111",Christine Weaver,1974,2,rent,6220902,1
9,murraybrian@example.net,3577290279,"640 Wilkinson Drives Apt. 713
South Timothy, MI 50716",Howard Faulkner,1994,2,own,9774755,2
10,ralph96@example.org,7026642201,"619 Jones Lodge Suite 005
Pennytown, MD 88163",Susan Nguyen,1959,1,rent,5067753,1
11,steve85@example.com,1589379789,"9511 Nancy Green Suite 544
Jeffreyville, AK 81411",Susan Sanchez,1986,1,own,9211114,5
12,reidtravis@example.org,5386254235,"85278 Alvarez Row Suite 371
South Matthewfurt, NH 94306",Jessica Moss,1968,1,rent,7903204,4
13,twall@example.net,5293183494,"70623 Floyd Plaza Apt. 474
Lake Kelly, NY 17825",Dylan Smith,1993,4,own,9877515,4
14,kendra83@example.com,1595749667,"524 Erika Mill Suite 377
Jasontown, AL 69663",Abigail Rogers,1967,4,rent,3956641,4
